orf	Mw	PI	Protein.Length	GRAVY.Score	Aromaticity.Score	CAI	Codon.Bias	FOP.Score	Ala	Cys	Asp	Glu	Phe	Gly	His	Ile	Lys	Leu	Met	Asn	Pro	Gln	Arg	Ser	Thr	Val	Trp	Tyr	INSTABILITY.INDEX..II.	ALIPHATIC.INDEX	mRNA	abundance	density	occupancy	transcripthl	transcriptsyn	halflife	noise	hydro	AP	ID	tAI	GC	helix	sheet	coil	TF	kinase	PPI	ePPI
YBL064C	29501.1	9.33	261	-0.29	0.1	0.21	0.21	0.56	0.0651341	0.011494253	0.076628352	0.042145594	0.068965517	0.042145594	0.011494253	0.076628352	0.095785441	0.0651341	0.007662835	0.045977011	0.057471264	0.042145594	0.042145594	0.0651341	0.068965517	0.08045977	0.01532567	0.019157088	37	79.91	1.9	12.13891172	0.6	0.86	27.73	4.43	117	5.43	0.306312	928.275	0.210728	0.4309286	0.417302	0.268199	0.16092	0.570881	2	1	78	3
YBL065W	13836.6	10.01	114	0.11	0.14	0.1	-0.02	0.4	0.01754386	0	0.026315789	0.035087719	0.043859649	0.01754386	0.043859649	0.070175439	0.035087719	0.166666667	0.052631579	0.052631579	0.035087719	0.035087719	0.078947368	0.061403509	0.052631579	0.078947368	0.00877193	0.087719298	39.34	105.84	NA	NA	NA	NA	NA	NA	NA	NA	0.668079	2575.65	0.157895	NA	0.385507	0.324561	0.307018	0.368421	NA	NA	NA	0
YBL066C	127993.3	7.65	1148	-0.52	0.07	0.14	0.08	0.47	0.054006969	0.013937282	0.051393728	0.041811847	0.039198606	0.038327526	0.029616725	0.049651568	0.054006969	0.098432056	0.019163763	0.081881533	0.067073171	0.049651568	0.039198606	0.111498258	0.081881533	0.043554007	0.008710801	0.027003484	44.79	73.29	0.2	NA	0.09	0.68	NA	NA	NA	NA	0.255475	5333.52	0.438153	0.3595543	0.402669	0.302265	0.00261324	0.695122	NA	2	8	3
YBL067C	83845.7	6.08	747	-0.71	0.08	0.14	0.03	0.45	0.037483266	0.021419009	0.065595716	0.073627845	0.044176707	0.050870147	0.018741633	0.054886212	0.087014726	0.078982597	0.014725569	0.081659973	0.052208835	0.032128514	0.037483266	0.113788487	0.052208835	0.048192771	0.004016064	0.030789826	46.42	67.35	0.6	6.965784285	0.15	0.64	18.81	6.82	32	NA	0.177842	1585.67	0.404284	0.3781987	0.371658	0.174029	0.109772	0.716198	NA	NA	2	0
YBL068W	35714.4	6.35	326	-0.06	0.05	0.2	0.15	0.53	0.095092025	0.015337423	0.073619632	0.052147239	0.027607362	0.049079755	0.030674847	0.088957055	0.064417178	0.098159509	0.021472393	0.049079755	0.036809816	0.030674847	0.042944785	0.070552147	0.058282209	0.073619632	0	0.021472393	34.05	100.87	2.8	12.36632221	0.44	0.74	16.1	36.7	116	-1.553	0.46242	1349.82	0.107034	0.4059922	0.390244	0.29052	0.214067	0.495413	1	NA	41	6
YBL068W-A	9173.4	7.41	78	-0.55	0.18	0.24	0.19	0.57	0.076923077	0.025641026	0.076923077	0.038461538	0.064102564	0.051282051	0.025641026	0.051282051	0.102564103	0.025641026	0.038461538	0.076923077	0.012820513	0.038461538	0.012820513	0.051282051	0.051282051	0.064102564	0.038461538	0.076923077	23.13	49.18	NA	NA	NA	NA	NA	NA	NA	NA	0.286965	493.453	0.0128205	NA	0.388186	0.282051	0.307692	0.410256	NA	NA	NA	0
YBL069W	48353	8.57	429	-0.3	0.1	0.17	0.13	0.51	0.055944056	0.011655012	0.062937063	0.051282051	0.034965035	0.067599068	0.025641026	0.072261072	0.095571096	0.079254079	0.025641026	0.055944056	0.048951049	0.027972028	0.027972028	0.06993007	0.037296037	0.081585082	0.011655012	0.055944056	36.3	83.66	0.6	NA	0.71	0.65	9.78	8.44	6	NA	0.313069	1510.93	0.0885781	0.3939839	0.406201	0.286713	0.214452	0.498834	1	NA	9	1
YBL070C	11551	8.62	106	0.92	0.12	0.1	0.01	0.43	0.075471698	0.056603774	0.009433962	0.018867925	0.08490566	0.103773585	0	0.132075472	0.028301887	0.132075472	0.028301887	0.047169811	0.028301887	0.028301887	0.037735849	0.075471698	0.047169811	0.028301887	0.018867925	0.018867925	28.89	119.37	NA	NA	0.93	0.65	NA	NA	NA	NA	1.08819	2010.68	0.00943396	NA	0.383178	0.386792	0.207547	0.40566	1	NA	NA	0
YBL071C	11546.7	10.11	102	0.08	0.11	0.12	-0.01	0.42	0.058823529	0.019607843	0.029411765	0.029411765	0.058823529	0.039215686	0.029411765	0.098039216	0.088235294	0.117647059	0.039215686	0.049019608	0.029411765	0.019607843	0.039215686	0.147058824	0.029411765	0.029411765	0	0.049019608	47.91	95.25	0.3	NA	0.97	0.77	NA	NA	NA	NA	0.775821	1356.03	0.343137	NA	0.36246	0.176471	0.421569	0.401961	3	NA	NA	0
YBL071C-B	3855.7	9.73	32	0.15	0.16	0.1	-0.07	0.39	0.03125	0.03125	0	0.03125	0.0625	0.0625	0.09375	0.0625	0.09375	0.1875	0.03125	0.03125	0	0.03125	0.03125	0	0.09375	0.03125	0	0.09375	34.95	100.87	NA	NA	NA	NA	17.22	7.63	NA	NA	0.593954	13.1693	0.125	NA	0.323232	0.53125	0.21875	0.25	NA	NA	NA	0
YBL071W-A	9339.4	3.49	82	-0.22	0.12	0.15	0.02	0.47	0.085365854	0.048780488	0.097560976	0.146341463	0.06097561	0.036585366	0.012195122	0.073170732	0.024390244	0.036585366	0.06097561	0.012195122	0.085365854	0.024390244	0.012195122	0.036585366	0.036585366	0.048780488	0	0.06097561	62.6	60.17	NA	13.03617361	NA	NA	NA	NA	NA	-1.551	0.434848	17.1474	0.109756	NA	0.445783	0.158537	0.329268	0.512195	NA	NA	30	4
YBL072C	22517.2	11.33	200	-0.83	0.08	0.75	0.85	0.91	0.115	0.01	0.015	0.07	0.035	0.08	0.02	0.055	0.11	0.05	0.005	0.04	0.02	0.035	0.11	0.085	0.06	0.04	0.015	0.03	52.24	58.63	53.7	13.95673915	0.78	0.87	48.03	155.32	NA	-2.341	0.137122	586.802	0.4	0.6123592	0.436153	0.315	0.225	0.46	1	NA	263	101
YBL073W	12090.6	8.27	103	0.33	0.17	0.11	-0.03	0.4	0.029126214	0.067961165	0.067961165	0.009708738	0.077669903	0.019417476	0.009708738	0.087378641	0.077669903	0.126213592	0.038834951	0.048543689	0.077669903	0	0.029126214	0.106796117	0	0.038834951	0.038834951	0.048543689	48.28	91.58	NA	NA	2.24	0.61	NA	NA	NA	NA	0.848864	2248.72	0.0776699	NA	0.403846	0.0679612	0.359223	0.572816	1	NA	NA	0
YBL074C	41666	4.68	355	-0.64	0.13	0.14	0.01	0.45	0.033802817	0.008450704	0.078873239	0.081690141	0.053521127	0.047887324	0.033802817	0.070422535	0.067605634	0.070422535	0.045070423	0.070422535	0.036619718	0.045070423	0.030985915	0.070422535	0.036619718	0.045070423	0.011267606	0.061971831	33.21	66.05	NA	12.83959748	0.28	0.62	NA	NA	250	NA	0.199664	1853.53	0.225352	0.3729772	0.38015	0.385915	0.152113	0.461972	7	NA	30	27
YBL075C	70527.4	4.79	649	-0.49	0.06	0.18	0.14	0.52	0.090909091	0.003081664	0.078582435	0.07550077	0.041602465	0.081664099	0.009244992	0.06009245	0.070878274	0.070878274	0.013867488	0.049306626	0.038520801	0.030816641	0.05238829	0.06779661	0.083204931	0.06009245	0.001540832	0.020030817	29.57	75.03	0.2	12.65284497	0.15	0.71	4.65	12.27	59	NA	0.238463	864.397	0.200308	0.4313542	0.415898	0.35131	0.158706	0.489985	7	NA	68	15
YBL076C	122966.3	5.9	1072	-0.34	0.11	0.34	0.38	0.65	0.052238806	0.008395522	0.072761194	0.07369403	0.049440299	0.053171642	0.018656716	0.0625	0.086753731	0.092350746	0.016791045	0.042910448	0.041977612	0.02238806	0.042910448	0.066231343	0.054104478	0.078358209	0.020522388	0.043843284	34.8	82.45	5.8	14.50804233	0.33	0.79	17.02	15.81	88	-0.303	0.263208	4532.58	0.0261194	0.4982773	0.389251	0.366604	0.14459	0.488806	2	NA	76	40
YBL077W	16331.1	8.9	143	0.2	0.13	0.11	-0.04	0.4	0.034965035	0.027972028	0.027972028	0.020979021	0.062937063	0.013986014	0.034965035	0.076923077	0.041958042	0.125874126	0.034965035	0.062937063	0.027972028	0.020979021	0.034965035	0.181818182	0.055944056	0.048951049	0.013986014	0.048951049	58.75	92.87	0.3	NA	2.48	0.79	NA	NA	NA	NA	0.473803	1669.32	0.0979021	NA	0.351852	0.230769	0.258741	0.51049	1	NA	NA	0
YBL078C	13630.9	9.59	117	-0.48	0.12	0.15	0.11	0.51	0.068376068	0.008547009	0.05982906	0.085470085	0.068376068	0.034188034	0.008547009	0.085470085	0.111111111	0.051282051	0.025641026	0.025641026	0.068376068	0.017094017	0.068376068	0.051282051	0.051282051	0.05982906	0	0.051282051	38.85	70.74	0.8	10.97297979	1.33	0.79	0.23	132.19	289	NA	0.3454	1781.87	0.273504	0.4264635	0.398305	0.290598	0.205128	0.504274	1	NA	71	10
YBL079W	169454.3	6.02	1502	-0.19	0.1	0.15	0.08	0.48	0.055259654	0.008655126	0.053262317	0.061917443	0.056591212	0.043941411	0.017976032	0.087882823	0.065246338	0.09587217	0.018641811	0.064580559	0.037283622	0.039946738	0.035286285	0.101864181	0.05792277	0.054593875	0.00665779	0.036617843	41.82	89.27	1.1	10.60733031	0.24	0.68	12.47	27.93	20	NA	0.358532	9605.99	0.191744	0.381076	0.373032	0.350866	0.104527	0.544607	1	2	49	23
YBL080C	61869.4	7.8	541	-0.4	0.09	0.13	0.07	0.47	0.053604436	0.005545287	0.059149723	0.060998152	0.040665434	0.044362292	0.029574861	0.075785582	0.073937153	0.120147874	0.022181146	0.055452865	0.046210721	0.053604436	0.046210721	0.075785582	0.051756007	0.040665434	0.005545287	0.038817006	41.06	89.16	0.2	10.44086917	0.29	0.69	NA	NA	NA	NA	0.250768	1214.14	0.0425139	0.3674208	0.411439	0.378928	0.0850277	0.536044	1	NA	14	6
YBL081W	40769.4	8.9	368	-0.96	0.09	0.17	0.23	0.55	0.043478261	0	0.024456522	0.010869565	0.024456522	0.024456522	0.04076087	0.029891304	0.02173913	0.065217391	0.029891304	0.171195652	0.073369565	0.059782609	0.019021739	0.201086957	0.067934783	0.024456522	0.008152174	0.059782609	62.44	47.02	1.3	NA	0.27	0.76	2.97	35.77	NA	NA	0.0977061	15.5229	0.57337	0.3681852	0.448057	0.0461957	0.0244565	0.929348	2	NA	3	1
YBL082C	52872.5	9.09	458	0.43	0.13	0.11	0.11	0.47	0.069868996	0.021834061	0.030567686	0.028384279	0.054585153	0.034934498	0.028384279	0.061135371	0.043668122	0.161572052	0.045851528	0.034934498	0.048034934	0.041484716	0.03930131	0.06768559	0.041484716	0.069868996	0.028384279	0.048034934	42.24	106.84	0.6	NA	0.51	0.63	16.59	13.62	30	NA	0.799269	12350.3	0.106987	0.3289647	0.478577	0.626638	0.0262009	0.347162	2	NA	19	5
YBL083C	16170.3	10.37	141	0.06	0.11	0.13	0.17	0.52	0.070921986	0.021276596	0.028368794	0.028368794	0.042553191	0.035460993	0.035460993	0.070921986	0.063829787	0.120567376	0.014184397	0.014184397	0.056737589	0.056737589	0.070921986	0.09929078	0.021276596	0.085106383	0.014184397	0.04964539	51.35	99.42	1	NA	0.7	0.69	NA	NA	NA	NA	0.752015	1035.12	0.212766	NA	0.457746	0.382979	0.262411	0.35461	1	NA	NA	0
YBL084C	85410.8	8.84	758	-0.43	0.09	0.12	-0.04	0.41	0.067282322	0.021108179	0.036939314	0.039577836	0.035620053	0.030343008	0.026385224	0.059366755	0.065963061	0.113456464	0.021108179	0.110817942	0.040897098	0.050131926	0.029023747	0.110817942	0.055408971	0.031662269	0.006596306	0.047493404	44.9	80.01	0.4	9.211888295	0.21	0.74	5.33	11.76	3	NA	0.279523	4662.87	0.233509	0.3490998	0.371542	0.592348	0	0.407652	NA	NA	50	25
YBL085W	109313.7	9.64	980	-0.89	0.07	0.13	0.04	0.45	0.051020408	0.004081633	0.046938776	0.070408163	0.03877551	0.040816327	0.026530612	0.044897959	0.089795918	0.066326531	0.015306122	0.063265306	0.056122449	0.042857143	0.044897959	0.157142857	0.071428571	0.036734694	0.006122449	0.026530612	58.98	56.72	1.5	10.02236781	0.1	0.68	11.3	20.79	3	-0.982	0.125635	1154.93	0.661224	0.3652048	0.399932	0.0969388	0.0520408	0.85102	NA	7	50	11
YBL086C	52005.5	9.55	466	-0.85	0.08	0.12	0	0.43	0.038626609	0.004291845	0.053648069	0.051502146	0.030042918	0.064377682	0.025751073	0.0472103	0.08583691	0.083690987	0.015021459	0.098712446	0.049356223	0.032188841	0.036480687	0.105150215	0.098712446	0.034334764	0.015021459	0.030042918	32.41	63.07	0.3	8.62935662	0.5	0.69	5.69	5.35	32	NA	0.170847	1426.91	0.306867	0.3564767	0.411848	0.130901	0.126609	0.742489	NA	NA	14	1
YBL087C	14485.3	11.03	137	-0.08	0.05	0.62	0.78	0.87	0.109489051	0.01459854	0.03649635	0.02919708	0.02189781	0.124087591	0	0.051094891	0.080291971	0.065693431	0.04379562	0.058394161	0.051094891	0.01459854	0.072992701	0.072992701	0.02189781	0.102189781	0.01459854	0.01459854	31.88	83.89	54.2	NA	1.13	0.83	42.12	135.15	NA	-0.918	0.564503	960.296	0.109489	0.579173	0.468599	0.0656934	0.364964	0.569343	9	NA	166	44
YBL088C	321515.1	6.92	2787	-0.16	0.11	0.12	-0.02	0.42	0.043057051	0.017581629	0.053462504	0.064226767	0.056332975	0.035163258	0.016864011	0.073914604	0.074273412	0.128094726	0.021169717	0.060997488	0.030139935	0.040186581	0.039110154	0.090060997	0.050233226	0.051309652	0.014711159	0.039110154	38.62	92.72	0.3	NA	0.04	0.71	9.12	6.09	NA	NA	0.37099	23062.1	0.120201	0.344351	0.357963	0.620022	0.0186581	0.36132	NA	NA	75	17
YBL089W	50902.5	9.03	459	0.57	0.11	0.1	-0.02	0.41	0.05664488	0.021786492	0.021786492	0.02832244	0.071895425	0.063180828	0.026143791	0.111111111	0.032679739	0.119825708	0.026143791	0.047930283	0.045751634	0.02832244	0.039215686	0.095860566	0.052287582	0.071895425	0.002178649	0.037037037	42.41	114.17	0.3	NA	0.31	0.64	6.73	13.96	NA	NA	0.96091	11790.7	0.037037	0.3222828	0.387682	0.579521	0.0174292	0.40305	2	NA	1	0
YBL090W	20413.2	11.23	177	-0.75	0.05	0.14	0.08	0.48	0.050847458	0.005649718	0.050847458	0.056497175	0.039548023	0.050847458	0.005649718	0.09039548	0.101694915	0.073446328	0.050847458	0.073446328	0.028248588	0.04519774	0.107344633	0.101694915	0.028248588	0.028248588	0	0.011299435	54.12	72.87	1.1	10.31061278	0.56	0.76	5.8	12.17	66	NA	0.178494	15.3755	0.39548	0.3935359	0.391386	0.463277	0.0338983	0.502825	1	NA	54	4
YBL091C	47508.9	6.17	421	-0.72	0.08	0.21	0.24	0.57	0.06888361	0.009501188	0.078384798	0.083135392	0.028503563	0.073634204	0.033254157	0.052256532	0.087885986	0.073634204	0.023752969	0.052256532	0.040380048	0.033254157	0.049881235	0.045130641	0.057007126	0.06175772	0.004750594	0.042755344	33.13	69.3	3.5	10.0768156	0.55	0.84	65.18	16.92	36	-0.855	0.139703	492.881	0.114014	0.4346941	0.43365	0.270784	0.163895	0.565321	1	NA	12	3
YBL091C-A	19681	9.3	175	-0.21	0.08	0.12	0.06	0.47	0.074285714	0.005714286	0.057142857	0.062857143	0.034285714	0.045714286	0.017142857	0.085714286	0.091428571	0.091428571	0.011428571	0.045714286	0.062857143	0.034285714	0.045714286	0.068571429	0.034285714	0.085714286	0.011428571	0.034285714	31.7	96.12	NA	8.483815777	NA	NA	22.93	2.15	15	NA	0.52508	2609.11	0.262857	NA	0.439394	0.0857143	0.342857	0.571429	NA	NA	NA	0
YBL092W	14794.7	11.79	130	-0.68	0.06	0.82	0.9	0.94	0.092307692	0	0.023076923	0.030769231	0.030769231	0.053846154	0.061538462	0.061538462	0.146153846	0.069230769	0.015384615	0.053846154	0.038461538	0.015384615	0.084615385	0.061538462	0.061538462	0.069230769	0.007692308	0.023076923	43.33	73.96	37	NA	0.76	0.84	28.81	216.38	NA	NA	0.273431	434.398	0.223077	0.6385154	0.442748	0.130769	0.130769	0.738462	3	NA	147	36
YBL093C	24855.7	6.28	220	-1	0.09	0.1	0.01	0.43	0.05	0.004545455	0.081818182	0.040909091	0.036363636	0.063636364	0.013636364	0.040909091	0.054545455	0.063636364	0.027272727	0.068181818	0.059090909	0.090909091	0.059090909	0.109090909	0.054545455	0.031818182	0.009090909	0.040909091	52.11	52.08	1.7	12.57931594	0.45	0.71	10.22	18.65	123	NA	0.125344	299.749	0.522727	0.3547747	0.443439	0.290909	0.0181818	0.690909	3	NA	63	19
YBL094C	12085.4	9.91	110	0.33	0.09	0.12	0.08	0.45	0.045454545	0.036363636	0.009090909	0.018181818	0.072727273	0.054545455	0.018181818	0.072727273	0.063636364	0.145454545	0.027272727	0.063636364	0.054545455	0.054545455	0.018181818	0.136363636	0.045454545	0.045454545	0.009090909	0.009090909	37.07	102.47	0.4	NA	0.9	0.7	NA	NA	NA	NA	0.800429	2369.44	0.281818	NA	0.384384	0.354545	0.263636	0.381818	NA	NA	NA	0
YBL095W	30546.8	8.03	270	-0.12	0.1	0.12	0.03	0.44	0.059259259	0.014814815	0.044444444	0.07037037	0.059259259	0.074074074	0.040740741	0.059259259	0.077777778	0.125925926	0.018518519	0.040740741	0.051851852	0.02962963	0.040740741	0.048148148	0.040740741	0.066666667	0.018518519	0.018518519	37.58	92.9	0.6	9.459431619	1.32	0.68	5.72	29.67	46	NA	0.417967	840.77	0.0851852	0.3534113	0.431735	0.248148	0.2	0.551852	1	NA	NA	0
YBL096C	11091.2	9.32	102	0.42	0.08	0.09	0.01	0.41	0.078431373	0.029411765	0.029411765	0.019607843	0.039215686	0.058823529	0.019607843	0.058823529	0.039215686	0.156862745	0.009803922	0.078431373	0.058823529	0	0.049019608	0.078431373	0.068627451	0.088235294	0.009803922	0.029411765	35.07	115.99	0.7	NA	0.97	0.65	NA	NA	NA	NA	0.692228	1059.43	0.0980392	NA	0.443366	0.245098	0.215686	0.539216	NA	NA	NA	0
YBL097W	86152	4.33	754	-0.89	0.07	0.15	-0.01	0.44	0.041114058	0.0066313	0.118037135	0.088859416	0.046419098	0.046419098	0.021220159	0.058355438	0.074270557	0.072944297	0.021220159	0.086206897	0.018567639	0.034482759	0.046419098	0.075596817	0.067639257	0.049071618	0.00795756	0.018567639	35.1	65.62	NA	9.459431619	0.09	0.64	NA	NA	3	NA	0.150354	880.769	0.351459	0.3859135	0.377925	0.233422	0.0238727	0.742706	2	NA	7	5
YBL098W	52435.1	8.59	460	-0.28	0.1	0.17	0.11	0.49	0.060869565	0.015217391	0.069565217	0.056521739	0.052173913	0.060869565	0.02826087	0.080434783	0.080434783	0.104347826	0.034782609	0.036956522	0.032608696	0.026086957	0.056521739	0.076086957	0.05	0.034782609	0.006521739	0.036956522	39.78	84.11	0.4	9.118941073	0.51	0.74	73.76	1.78	175	NA	0.323928	2777.4	0.0434783	0.4008122	0.386117	0.356522	0.180435	0.463043	2	NA	5	0
YBL099W	58614.7	9.5	545	-0.08	0.06	0.47	0.63	0.78	0.111926606	0.001834862	0.03853211	0.067889908	0.027522936	0.086238532	0.011009174	0.055045872	0.053211009	0.119266055	0.005504587	0.033027523	0.03853211	0.047706422	0.064220183	0.078899083	0.049541284	0.080733945	0.003669725	0.025688073	34.25	100.5	3.4	15.34082372	0.65	0.86	34.65	60.35	49	8.908	0.389187	2385.16	0.0715596	0.5363101	0.437118	0.381651	0.155963	0.462385	3	NA	44	6
YBL100C	11251.4	7.73	104	0.57	0.08	0.09	0.04	0.45	0.153846154	0.057692308	0.028846154	0.067307692	0.048076923	0.019230769	0	0.067307692	0.048076923	0.125	0.019230769	0.019230769	0.048076923	0	0.057692308	0.096153846	0.048076923	0.067307692	0	0.028846154	43.08	106.44	NA	NA	NA	NA	NA	NA	NA	NA	0.886984	1849.33	0.125	NA	0.434921	0.509615	0.105769	0.384615	NA	NA	NA	0
YBL100W-A	49897.1	7.56	438	-0.81	0.08	0.18	0.13	0.51	0.057077626	0.006849315	0.043378995	0.050228311	0.025114155	0.020547945	0.04109589	0.050228311	0.057077626	0.070776256	0.02283105	0.084474886	0.070776256	0.075342466	0.034246575	0.107305936	0.077625571	0.0456621	0.00913242	0.050228311	49	61.96	NA	NA	NA	NA	NA	NA	NA	NA	0.168793	1527.37	0.609589	NA	0.381928	0.267123	0	0.732877	NA	1	NA	0
YBL100W-B	202216.4	7.72	1770	-0.7	0.08	0.15	0.05	0.46	0.04519774	0.008474576	0.065536723	0.050282486	0.027683616	0.033333333	0.036158192	0.071751412	0.073446328	0.085875706	0.017514124	0.075706215	0.05480226	0.048022599	0.04180791	0.092655367	0.076836158	0.039548023	0.008474576	0.046892655	46.6	73.65	NA	NA	NA	NA	NA	NA	NA	NA	0.183721	5928.43	0.414124	NA	0.369471	0.20904	0.112429	0.678531	NA	NA	NA	0
YBL100W-C	4647.5	11.72	39	-0.45	0.15	0.11	-0.06	0.39	0	0	0.025641026	0.025641026	0.102564103	0.051282051	0	0.102564103	0.102564103	0.076923077	0.025641026	0.102564103	0.051282051	0.025641026	0.076923077	0.153846154	0	0.025641026	0.051282051	0	73.76	72.66	NA	NA	NA	NA	NA	NA	NA	NA	0.267809	854.137	0.205128	NA	0.358333	0.564103	0.0512821	0.384615	NA	NA	NA	0
YBL101C	123604	6.88	1117	-0.65	0.07	0.12	0.04	0.44	0.048343778	0.006266786	0.058191585	0.059982095	0.034019696	0.050134288	0.021486124	0.055505819	0.058191585	0.076096688	0.016114593	0.076991943	0.068039391	0.02954342	0.053715309	0.131602507	0.067144136	0.054610564	0.002685765	0.03133393	48.47	69.78	0.8	9.642051693	0.14	0.7	10.89	9.06	68	NA	0.183741	1330.45	0.372426	0.3568139	0.414133	0.0483438	0.117278	0.834378	NA	2	9	0
YBL102W	24279.5	8.99	215	0.29	0.14	0.1	0.09	0.46	0.088372093	0.023255814	0.027906977	0.03255814	0.093023256	0.046511628	0.004651163	0.027906977	0.023255814	0.139534884	0.03255814	0.037209302	0.041860465	0.051162791	0.060465116	0.088372093	0.074418605	0.060465116	0.018604651	0.027906977	46.76	86.39	2.6	8.124121312	0.46	0.83	23.9	17.66	NA	2.801	0.831662	5239.34	0.255814	0.3112287	0.447531	0.609302	0	0.390698	2	NA	8	1
YBL103C	54123.2	5.68	486	-0.82	0.06	0.15	0.07	0.46	0.051440329	0	0.053497942	0.076131687	0.026748971	0.055555556	0.037037037	0.047325103	0.049382716	0.092592593	0.028806584	0.082304527	0.055555556	0.047325103	0.04526749	0.133744856	0.055555556	0.026748971	0.002057613	0.032921811	54.5	65.64	0.2	10.03617361	0.21	0.6	6.27	12.27	36	NA	0.121927	4.81989	0.557613	0.3861426	0.396988	0.222222	0	0.777778	2	1	24	1
YBL104C	117621.4	5.98	1038	-0.56	0.09	0.14	0.05	0.46	0.056840077	0.022157996	0.072254335	0.05973025	0.031791908	0.057803468	0.018304432	0.069364162	0.054913295	0.081888247	0.022157996	0.081888247	0.034682081	0.027938343	0.061657033	0.09344894	0.052986513	0.043352601	0.018304432	0.038535645	39.42	73.47	0.7	7.523561956	0.17	0.68	5.16	13.53	NA	-2.161	0.236444	3276.04	0.192678	0.3589862	0.390439	0.217726	0.16185	0.620424	3	3	35	24
YBL105C	131473.5	7.11	1151	-0.68	0.08	0.17	0.11	0.5	0.055603823	0.020851434	0.062554301	0.075586447	0.041702867	0.047784535	0.026064292	0.061685491	0.085143354	0.085143354	0.021720243	0.050390964	0.042571677	0.062554301	0.048653345	0.074717637	0.06342311	0.037358818	0.011294526	0.025195482	47.42	69.59	0.4	NA	0.09	0.65	7.97	12.32	NA	0.04	0.203659	4808.28	0.513467	0.3925697	0.388021	0.23371	0.0842745	0.682016	NA	NA	183	35
YBL106C	111637.5	8.88	1010	-0.08	0.08	0.12	0.03	0.45	0.058415842	0.013861386	0.045544554	0.047524752	0.045544554	0.065346535	0.021782178	0.092079208	0.065346535	0.085148515	0.01980198	0.051485149	0.045544554	0.02970297	0.040594059	0.095049505	0.075247525	0.063366337	0.007920792	0.030693069	34.86	91	0.3	NA	0.15	0.72	NA	NA	NA	NA	0.39652	6968.93	0.0930693	0.3521249	0.389383	0.0663366	0.365347	0.568317	1	NA	17	6
YBL107C	22966.1	7.06	196	-0.98	0.08	0.1	-0.11	0.39	0.051020408	0.030612245	0.06122449	0.091836735	0.040816327	0.025510204	0.005102041	0.066326531	0.081632653	0.071428571	0.010204082	0.096938776	0.035714286	0.06122449	0.071428571	0.045918367	0.086734694	0.025510204	0.015306122	0.025510204	36.76	61.24	0.8	9.584962501	0.17	0.77	8.87	13.34	8	NA	0.127351	239.795	0.311224	0.3584126	0.373942	0.540816	0.0255102	0.433673	4	NA	15	3
YBL107W-A	4055	9.44	34	0.87	0.12	0.09	-0.03	0.42	0.029411765	0.029411765	0.029411765	0.029411765	0.029411765	0	0	0.235294118	0.029411765	0.147058824	0.029411765	0	0.029411765	0	0.088235294	0.147058824	0.058823529	0	0.058823529	0.029411765	60.09	143.24	NA	NA	NA	NA	NA	NA	NA	NA	1.44906	621.571	0	NA	0.285714	0.117647	0.5	0.382353	NA	NA	NA	0
YBL108C-A	4526.3	9.93	42	0.15	0.07	0.53	0.73	0.85	0.095238095	0	0.047619048	0	0	0.071428571	0	0.119047619	0.047619048	0.071428571	0.047619048	0.023809524	0.071428571	0.023809524	0.047619048	0.119047619	0.095238095	0.047619048	0.023809524	0.047619048	17.05	96.98	NA	NA	NA	NA	NA	NA	NA	NA	0.538655	54.6928	0.190476	NA	0.488372	0.309524	0.214286	0.47619	NA	NA	3	1
YBL108W	11666.1	8.4	101	0.24	0.14	0.11	-0.03	0.4	0.059405941	0.079207921	0.01980198	0.059405941	0.079207921	0.04950495	0.03960396	0.04950495	0.059405941	0.118811881	0.02970297	0.02970297	0.069306931	0	0.059405941	0.069306931	0.00990099	0.059405941	0.01980198	0.03960396	51.97	82.75	NA	NA	0.33	0.7	NA	NA	8	NA	0.508597	1678.49	0.00990099	NA	0.421568	0.118812	0.277228	0.60396	3	NA	NA	0
YBL109W	12882.9	8.26	111	-0.15	0.13	0.18	0.25	0.55	0	0.018018018	0.009009009	0	0.018018018	0	0.108108108	0.072072072	0	0.153153153	0.018018018	0.045045045	0.144144144	0.027027027	0.018018018	0.126126126	0.117117117	0.018018018	0	0.108108108	75.86	90.1	NA	NA	0.89	0.52	NA	NA	NA	NA	0.327976	776.133	0.0630631	NA	0.46131	0.108108	0.288288	0.603604	9	NA	NA	0
YBL111C	76258.4	8.75	667	-0.33	0.1	0.1	0	0.42	0.056971514	0.020989505	0.055472264	0.071964018	0.056971514	0.053973013	0.020989505	0.050974513	0.074962519	0.097451274	0.017991004	0.043478261	0.03898051	0.022488756	0.068965517	0.076461769	0.052473763	0.071964018	0.008995502	0.037481259	39.25	78.93	0.8	8.124121312	0.05	0.44	NA	NA	NA	NA	0.320418	4945.32	0.157421	NA	0.449102	0.322339	0.131934	0.545727	15	NA	4	0
YBL112C	11980.5	9.72	105	-0.14	0.06	0.09	0.04	0.43	0.028571429	0.038095238	0.038095238	0.066666667	0.00952381	0.104761905	0	0.085714286	0.085714286	0.133333333	0.047619048	0.038095238	0.038095238	0.047619048	0.076190476	0.028571429	0.028571429	0.057142857	0.028571429	0.019047619	48.13	100.9	2.2	NA	0.94	0.54	NA	NA	NA	NA	0.474632	1220.01	0.2	NA	0.427673	0.2	0.238095	0.561905	9	NA	16	0
