orf,localization,GPI,First signal position,SRP dependent,Loop,ORF length (codons),Signal to stop codon length,Pronounced direct SRP binding,Position of direct SRP binding,SRP binding unambiguously assigned,SRP prerecruitment
YEL019C,Cytonuclear,No,,,,267,,,,,
YEL020C,Cytonuclear,No,,,,560,,,,,
YEL020W-A,Cytonuclear,No,,,,87,,,,,
YEL021W,Cytonuclear,No,,,,267,,,,,
YEL022W,Exception,No,,,,1459,,,,,
YEL023C,Cytonuclear,No,,,,682,,,,,
YEL024W,mito,No,,,,215,,,,,
YEL025C,Exception,No,,,,1188,,,,,
YEL026W,Cytonuclear,No,,,,126,,,,,
YEL027W,TMD,No,7,Dependent,No,160,153,No,,,Yes
YEL029C,Cytonuclear,No,,,,312,,,,,
YEL030W,Cytonuclear,No,,,,644,,,,,
YEL031W,TMD,No,22,Independent,Yes,1215,1193,No,,,Yes
YEL032W,Cytonuclear,No,,,,971,,,,,
YEL033W,TMD,No,14,Dependent,,139,125,,,,
YEL034W,Cytonuclear,No,,,,157,,,,,
YEL035C,Cytonuclear,No,,,,166,,,,,
YEL036C,Exception,No,,Dependent,No,500,,,,,
YEL037C,Cytonuclear,No,,,,398,,,,,
YEL038W,Cytonuclear,No,,,,227,,,,,
YEL039C,Cytonuclear,No,,,,113,,,,,
YEL040W,SS,Yes,8,Independent,No,467,459,No,,,Yes
YEL041W,Cytonuclear,No,,,,495,,,,,
YEL042W,Exception,No,,Dependent,No,518,,,,,
YEL043W,SS,No,3,Independent,,956,953,No,,,Yes
YEL044W,Cytonuclear,No,,,,166,,,,,
YEL046C,Cytonuclear,No,,,,387,,,,,
YEL047C,SS,No,3,,,470,467,No,,,No
YEL048C,Cytonuclear,No,,,,152,,,,,
YEL049W,SS,No,4,Independent,,120,116,,,,
YEL050C,SS,No,2,,,393,391,,,,
YEL051W,Cytonuclear,No,,,,256,,,,,
YEL052W,mito,No,,,,509,,,,,
YEL053C,Cytonuclear,No,,,,733,,,,,
YEL054C,Cytonuclear,No,,,,165,,,,,
YEL055C,Cytonuclear,No,,,,1022,,,,,
YEL056W,Cytonuclear,No,,,,401,,,,,
YEL057C,Cytonuclear,No,,,,233,,,,,
YEL058W,Cytonuclear,No,,,,557,,Yes,198,,
YEL059C-A,Cytonuclear,No,,,,74,,,,,
YEL060C,SS,No,6,Independent,Yes,635,629,No,,,No
YEL061C,Cytonuclear,No,,,,1000,,,,,
YEL062W,Exception,No,,,,615,,,,,
YEL063C,TMD,No,93,,Yes,590,497,Yes,161,Yes,Yes
YEL064C,TMD,No,71,,,480,409,No,,,Yes
YEL065W,TMD,No,67,,No,628,561,Yes,157,No,Yes
YEL066W,Cytonuclear,No,,,,179,,,,,
YEL067C,Exception,No,,,,195,,,,,
YEL068C,Exception,No,,,,110,,,,,
YEL069C,TMD,No,51,Dependent,,564,513,,,,
YEL070W,Cytonuclear,No,,,,502,,,,,
YEL071W,Cytonuclear,No,,,,496,,,,,
YEL072W,Exception,No,,,,231,,,,,
YEL073C,Exception,No,,,,107,,,,,
YEL075C,Cytonuclear,No,,,,122,,,,,
YEL076C,Cytonuclear,No,,,,216,,,,,
YEL076C-A,Cytonuclear,No,,,,216,,,,,
YEL077C,Exception,No,,,,1270,,,,,
YER001W,TMD,No,13,Dependent,No,762,749,No,,,Yes
YER002W,Cytonuclear,No,,,,231,,,,,
YER003C,Cytonuclear,No,,,,429,,,,,
YER004W,Exception,No,,,,231,,,,,
YER005W,TMD,No,501,,,630,129,,,,
YER006W,Cytonuclear,No,,,,520,,,,,
YER007C-A,Cytonuclear,No,,,,181,,,,,
YER007W,Cytonuclear,No,,,,518,,,,,
YER008C,Exception,No,,,,1336,,,,,
YER009W,Cytonuclear,No,,,,125,,,,,
YER010C,Cytonuclear,No,,,,234,,,,,
YER011W,SS,Yes,6,Independent,Yes,254,248,,,,
YER012W,Cytonuclear,No,,,,198,,,,,
YER013W,Cytonuclear,No,,,,1145,,,,,
YER014C-A,Cytonuclear,No,,,,153,,,,,
YER014W,mito,No,,,,539,,,,,
YER015W,Cytonuclear,No,,,,744,,,,,
YER016W,Cytonuclear,No,,,,344,,,,,
YER017C,mito,No,,,,761,,,,,
YER018C,Cytonuclear,No,,,,221,,,,,
YER019C-A,TA,No,61,,No,88,27,,,,
YER019W,TMD,No,395,,No,477,82,Yes,468,No,No
YER020W,Cytonuclear,No,,,,449,,,,,
YER021W,Cytonuclear,No,,,,523,,,,,
YER022W,Exception,No,,,,687,,,,,
YER023W,SS,No,4,,,286,282,No,,,Yes
YER024W,Cytonuclear,No,,,,923,,,,,
YER025W,Cytonuclear,No,,,,527,,,,,
YER026C,TMD,No,85,,,276,191,No,,,No
YER027C,Cytonuclear,No,,,,417,,,,,
YER028C,Cytonuclear,No,,,,394,,,,,
YER029C,Cytonuclear,No,,,,196,,,,,
YER030W,Cytonuclear,No,,,,153,,,,,
YER031C,Cytonuclear,No,,,,223,,,,,
YER032W,Cytonuclear,No,,,,876,,,,,
YER033C,Cytonuclear,No,,,,1076,,,,,
YER034W,Cytonuclear,No,,,,185,,,,,
YER035W,Cytonuclear,No,,,,145,,,,,
YER036C,Cytonuclear,No,,,,610,,,,,
YER037W,Cytonuclear,No,,,,321,,,,,
YER038C,Cytonuclear,No,,,,464,,,,,
YER038W-A,Exception,No,,,,126,,,,,
YER039C,TMD,No,14,Dependent,,249,235,,,,
YER039C-A,Exception,No,,Dependent,,72,,,,,
YER040W,Cytonuclear,No,,,,730,,,,,
YER041W,Cytonuclear,No,,,,759,,,,,
YER042W,Cytonuclear,No,,,,184,,,,,
YER043C,Cytonuclear,No,,,,449,,,,,
YER044C,TMD,No,24,Dependent,No,148,124,Yes,135,No,Yes
YER044C-A,Exception,No,,,,408,,,,,
YER045C,Cytonuclear,No,,,,489,,,,,
YER046W,Cytonuclear,No,,,,143,,,,,
YER047C,Cytonuclear,No,,,,897,,,,,
YER048C,Cytonuclear,No,,,,391,,,,,
YER048W-A,mito,No,,,,94,,,,,
YER049W,Cytonuclear,No,,,,644,,,,,
YER050C,Cytonuclear,No,,,,138,,,,,
YER051W,Cytonuclear,No,,,,492,,,,,
YER052C,Cytonuclear,No,,,,527,,,,,
YER053C,mito,No,,,,300,,,,,
YER053C-A,TA,No,5,Dependent,,37,32,,,,
YER054C,Cytonuclear,No,,,,548,,,,,
YER055C,Cytonuclear,No,,,,297,,,,,
YER056C,TMD,No,94,,No,533,439,Yes,203,No,Yes
YER056C-A,Cytonuclear,No,,,,121,,,,,
YER057C,Exception,No,,,,129,,,,,
YER058W,SS,No,7,,,107,100,,,,
YER059W,Cytonuclear,No,,,,420,,,,,
YER060W,Exception,No,,,,528,,,,,
YER060W-A,TMD,No,88,,,530,442,,,,
YER061C,mito,No,,,,442,,,,,
YER062C,Cytonuclear,No,,,,250,,,,,
YER063W,Cytonuclear,No,,,,218,,,,,
YER064C,Cytonuclear,No,,,,505,,,,,
YER065C,Cytonuclear,No,,,,557,,,,,
YER066W,Cytonuclear,No,,,,185,,,,,
YER067W,Cytonuclear,No,,,,161,,,,,
YER068W,Cytonuclear,No,,,,587,,,,,
YER069W,mito,No,,,,863,,,,,
YER070W,Cytonuclear,No,,,,888,,,,,
YER071C,Cytonuclear,No,,,,126,,,,,
YER072W,TMD,No,32,Dependent,Yes,129,97,Yes,127,No,No
YER073W,mito,No,,,,520,,,,,
YER074W,Cytonuclear,No,,,,135,,,,,
YER074W-A,TMD,No,5,Dependent,,85,80,Yes,77,No,No
YER075C,Cytonuclear,No,,,,928,,,,,
YER076C,SS,No,7,Independent,,302,295,No,,,Yes
YER077C,mito,No,,,,688,,,,,
YER078C,mito,No,,,,511,,,,,
YER078W-A,Exception,No,,,,54,,,,,
YER079W,Cytonuclear,No,,,,210,,,,,
YER080W,mito,No,,,,627,,,,,
YER081W,Cytonuclear,No,,,,469,,,,,
YER082C,Cytonuclear,No,,,,554,,,,,
YER083C,TMD,No,152,,No,285,133,Yes,196,Yes,No
YER084W,Exception,No,,,,128,,,,,
YER085C,Cytonuclear,No,,,,173,,,,,
YER086W,mito,No,,,,576,,,,,
YER087C-B,TA,No,55,,No,82,27,,,,
YER087W,Cytonuclear,No,,,,576,,,,,
YER088C,Cytonuclear,No,,,,670,,,,,
YER089C,Cytonuclear,No,,,,464,,,,,
YER090W,Cytonuclear,No,,,,507,,,,,
YER091C,Cytonuclear,No,,,,767,,,,,
YER092W,Cytonuclear,No,,,,125,,,,,
YER093C,Cytonuclear,No,,,,1430,,,,,
YER093C-A,TMD,No,18,Independent,,137,119,,,,
YER094C,Cytonuclear,No,,,,205,,,,,
YER095W,Cytonuclear,No,,,,400,,,,,
YER096W,Cytonuclear,No,,,,512,,,,,
YER098W,Cytonuclear,No,,,,754,,,,,
YER099C,Cytonuclear,No,,,,318,,,,,
YER100W,TA,No,231,,No,250,19,,,,
YER101C,Exception,No,,,,430,,,,,
YER102W,Cytonuclear,No,,,,200,,,,,
YER103W,Cytonuclear,No,,,,642,,,,,
YER104W,Cytonuclear,No,,,,208,,,,,
YER105C,Cytonuclear,No,,,,1391,,,,,
YER106W,Cytonuclear,No,,,,302,,,,,
YER107C,Exception,No,,,,365,,,,,
YER110C,Exception,No,,,,1113,,,,,
YER111C,Cytonuclear,No,,,,1093,,,,,
YER112W,Cytonuclear,No,,,,187,,,,,
YER113C,SSTMD,No,10,Dependent,,706,696,No,,,Yes
YER114C,Cytonuclear,No,,,,1040,,,,,
YER115C,Cytonuclear,No,,,,191,,,,,
YER116C,Cytonuclear,No,,,,274,,,,,
YER117W,Cytonuclear,No,,,,137,,,,,
YER118C,TMD,No,33,Dependent,Yes,367,334,Yes,114,No,Yes
YER119C,Exception,No,,Dependent,No,448,,,,,
YER120W,TA,No,225,,No,244,19,,,,
YER121W,Cytonuclear,No,,,,114,,,,,
YER122C,Cytonuclear,No,,,,493,,,,,
YER123W,Cytonuclear,No,,,,524,,,,,
YER124C,Cytonuclear,No,,,,573,,,,,
YER125W,Cytonuclear,No,,,,809,,,,,
YER126C,Cytonuclear,No,,,,261,,,,,
YER127W,Cytonuclear,No,,,,357,,,,,
YER128W,Cytonuclear,No,,,,203,,,,,
YER129W,TMD,No,357,,,1142,785,,,,
YER130C,Cytonuclear,No,,,,443,,,,,
YER131W,Cytonuclear,No,,,,119,,,,,
YER132C,Cytonuclear,No,,,,1753,,,,,
YER133W,Cytonuclear,No,,,,312,,,,,
YER134C,Cytonuclear,No,,,,178,,,,,
YER136W,Cytonuclear,No,,,,451,,,,,
YER137C,Cytonuclear,No,,,,148,,,,,
YER137C-A,Cytonuclear,No,,,,440,,,,,
YER138C,Cytonuclear,No,,,,1755,,,,,
YER138W-A,Exception,No,,,,34,,,,,
YER139C,Cytonuclear,No,,,,226,,,,,
YER140W,TMD,No,87,,,556,469,No,,,Yes
YER141W,mito,No,,,,486,,,,,
YER142C,Cytonuclear,No,,,,296,,,,,
YER143W,Cytonuclear,No,,,,428,,,,,
YER144C,Cytonuclear,No,,,,805,,,,,
YER145C,Exception,No,,Dependent,No,404,,,,,
YER146W,Cytonuclear,No,,,,93,,,,,
YER147C,Cytonuclear,No,,,,624,,,,,
YER148W,Cytonuclear,No,,,,240,,,,,
YER149C,Cytonuclear,No,,,,420,,,,,
YER150W,SS,Yes,7,Independent,Yes,148,141,No,,,Yes
YER151C,Cytonuclear,No,,,,912,,,,,
YER152C,Cytonuclear,No,,,,443,,,,,
YER153C,mito,No,,,,254,,,,,
YER154W,mito,No,,,,402,,Yes,326,,
YER155C,Exception,No,,,,2167,,,,,
YER156C,Cytonuclear,No,,,,338,,,,,
YER157W,Cytonuclear,No,,,,801,,,,,
YER158C,Cytonuclear,No,,,,573,,,,,
YER159C,Cytonuclear,No,,,,142,,,,,
YER159C-A,Cytonuclear,No,,,,440,,,,,
YER160C,Cytonuclear,No,,,,1755,,,,,
YER161C,Cytonuclear,No,,,,333,,,,,
YER162C,Exception,No,,,,754,,,,,
YER163C,Cytonuclear,No,,,,232,,,,,
YER164W,Cytonuclear,No,,,,1468,,,,,
YER165W,Cytonuclear,No,,,,577,,,,,
YER166W,Exception,No,,,No,1571,,,,,
YER167W,Cytonuclear,No,,,,851,,,,,
YER168C,Exception,No,,,,546,,,,,
YER169W,Cytonuclear,No,,,,796,,,,,
YER170W,mito,No,,,,225,,,,,
YER171W,Cytonuclear,No,,,,778,,,,,
YER172C,Cytonuclear,No,,,,2163,,,,,
YER173W,Cytonuclear,No,,,,659,,,,,
YER174C,Cytonuclear,No,,,,244,,,,,
YER175C,Cytonuclear,No,,,,299,,,,,
YER175W-A,Cytonuclear,No,,,,54,,,,,
YER176W,Cytonuclear,No,,,,1121,,,,,
YER177W,Cytonuclear,No,,,,267,,,,,
YER178W,mito,No,,,,420,,,,,
YER179W,Cytonuclear,No,,,,334,,,,,
YER180C,Cytonuclear,No,,,,267,,,,,
YER180C-A,Cytonuclear,No,,,,85,,,,,
YER182W,mito,No,,,,244,,,,,
YER183C,Cytonuclear,No,,,,211,,,,,
YER184C,Exception,No,,,,794,,,,,
YER185W,TMD,No,19,Dependent,,303,284,,,,
YER186C,Cytonuclear,No,,,,306,,,,,
YER187W,Cytonuclear,No,,,,141,,,,,
YER188C-A,Cytonuclear,No,,,,99,,,,,
YER189W,Cytonuclear,No,,,,122,,,,,
YER190C-B,Exception,No,,,,160,,,,,
YER190W,Cytonuclear,No,,,,1674,,,,,
YFL001W,Cytonuclear,No,,,,442,,,,,
YFL002C,Cytonuclear,No,,,,606,,,,,
YFL002W-A,Cytonuclear,No,,,,1770,,,,,
YFL002W-B,Cytonuclear,No,,,,438,,,,,
YFL003C,Cytonuclear,No,,,,878,,,,,
YFL004W,TMD,No,696,,Yes,828,132,Yes,789,No,No
YFL005W,Cytonuclear,No,,,,215,,,,,
YFL007W,Exception,No,,,,2143,,,,,
YFL008W,Cytonuclear,No,,,,1225,,,,,
YFL009W,Cytonuclear,No,,,,779,,,,,
YFL010C,Exception,No,,,,211,,,,,
YFL010W-A,Cytonuclear,No,,,,94,,,,,
YFL011W,TMD,No,43,Dependent,,546,503,,,,
YFL012W,Exception,No,,,,148,,,,,
YFL013C,Cytonuclear,No,,,,692,,,,,
YFL014W,Cytonuclear,No,,,,109,,,,,
YFL016C,mito,No,,,,511,,,,,
YFL017C,Cytonuclear,No,,,,159,,,,,
YFL017W-A,Cytonuclear,No,,,,77,,,,,
YFL018C,mito,No,,,,499,,,,,
YFL020C,SS,No,4,Independent,,122,118,,,,
YFL021W,Exception,No,,,,510,,,,,
YFL022C,Cytonuclear,No,,,,503,,,,,
YFL023W,Cytonuclear,No,,,,796,,,,,
YFL024C,Cytonuclear,No,,,,832,,,,,
YFL025C,TMD,No,52,Dependent,,1029,977,No,,,Yes
YFL026W,TMD,No,51,Independent,No,431,380,Yes,156,No,Yes
YFL027C,mito,No,,,,497,,,,,
YFL028C,Cytonuclear,No,,,,289,,,,,
YFL029C,Cytonuclear,No,,,,368,,,,,
YFL030W,Cytonuclear,No,,,,385,,,,,
YFL031W,Cytonuclear,No,,,,238,,,,,
YFL033C,Cytonuclear,No,,,,1770,,,,,
YFL034C-A,Cytonuclear,No,,,,122,,,,,
YFL034C-B,Cytonuclear,No,,,,287,,,,,
YFL034W,Exception,No,,,,1073,,,,,
YFL036W,Cytonuclear,No,,,,1351,,,,,
YFL037W,Cytonuclear,No,,,,457,,,,,
YFL038C,Cytonuclear,No,,,,206,,,,,
YFL039C,Cytonuclear,No,,,,375,,,,,
YFL040W,Exception,No,,Independent,,540,,,,,
YFL041W,Exception,No,,Independent,Yes,622,,,,,
YFL041W-A,Cytonuclear,No,,,,63,,,,,
YFL042C,TA,No,636,,,674,38,,,,
YFL044C,Cytonuclear,No,,,,301,,,,,
YFL045C,Cytonuclear,No,,,,254,,,,,
YFL046W,mito,No,,,,207,,,,,
YFL047W,Cytonuclear,No,,,,714,,,,,
YFL048C,SSTMD,No,10,Independent,No,445,435,No,,,Yes
YFL049W,Cytonuclear,No,,,,623,,,,,
YFL050C,TMD,No,740,,,858,118,,,,
YFL051C,SS,No,7,Independent,,160,153,,,,
YFL052W,Cytonuclear,No,,,,465,,,,,
YFL053W,Cytonuclear,No,,,,591,,,,,
YFL054C,TMD,No,351,,,646,295,,,,
YFL055W,TMD,No,58,Dependent,,558,500,,,,
YFL058W,Cytonuclear,No,,,,340,,,,,
YFL059W,Cytonuclear,No,,,,298,,,,,
YFL060C,Exception,No,,,,222,,,,,
YFL061W,Cytonuclear,No,,,,225,,,,,
YFL062W,TMD,No,45,Dependent,,379,334,,,,
YFL064C,Cytonuclear,No,,,,174,,,,,
YFL065C,Cytonuclear,No,,,,102,,,,,
YFL066C,Cytonuclear,No,,,,385,,,,,
YFL067W,SSTMD,No,4,Dependent,,175,171,,,,
YFL068W,TA,No,137,,,160,23,,,,
YFR001W,Cytonuclear,No,,,,204,,,,,
YFR002W,Exception,No,,,,839,,,,,
YFR003C,Cytonuclear,No,,,,155,,,,,
YFR004W,Cytonuclear,No,,,,306,,,,,
YFR005C,Cytonuclear,No,,,,448,,,,,
YFR006W,TMD,No,6,Dependent,No,535,529,No,,,Yes
YFR007W,Cytonuclear,No,,,,353,,,,,
YFR008W,Cytonuclear,No,,,,221,,,,,
YFR009W,Cytonuclear,No,,,,752,,,,,
YFR010W,Cytonuclear,No,,,,499,,,,,
YFR011C,mito,No,,,,170,,,,,
YFR012W,Exception,No,,Dependent,,202,,,,,
YFR012W-A,Cytonuclear,No,,,,28,,,,,
YFR013W,Cytonuclear,No,,,,787,,,,,
YFR014C,Cytonuclear,No,,,,446,,,,,
YFR015C,Cytonuclear,No,,,,708,,,,,
YFR016C,Cytonuclear,No,,,,1233,,,,,
YFR017C,Cytonuclear,No,,,,195,,,,,
YFR018C,SS,No,11,,,363,352,No,,,Yes
YFR019W,Cytonuclear,No,,,,2278,,,,,
YFR020W,Exception,No,,,,232,,,,,
YFR021W,Cytonuclear,No,,,,500,,,,,
YFR022W,Cytonuclear,No,,,,733,,,,,
YFR023W,Cytonuclear,No,,,,611,,,,,
YFR024C-A,mito,No,,,,459,,,,,
YFR025C,Cytonuclear,No,,,,335,,,,,
YFR026C,SS,No,5,,,169,164,,,,
YFR027W,Cytonuclear,No,,,,281,,,,,
YFR028C,Cytonuclear,No,,,,551,,,,,
YFR029W,Cytonuclear,No,,,,678,,,,,
YFR030W,Cytonuclear,No,,,,1035,,,,,
YFR031C,Cytonuclear,No,,,,1170,,,,,
YFR031C-A,Cytonuclear,No,,,,254,,,,,
YFR032C,Cytonuclear,No,,,,289,,,,,
YFR032C-A,Cytonuclear,No,,,,59,,,,,
YFR032C-B,TMD,No,20,Dependent,,87,67,,,,
YFR033C,Cytonuclear,No,,,,147,,,,,
YFR034C,Cytonuclear,No,,,,312,,,,,
YFR035C,Exception,No,,Dependent,,114,,,,,
YFR036W,Cytonuclear,No,,,,124,,,,,
YFR037C,Cytonuclear,No,,,,557,,,,,
YFR038W,Exception,No,,,,853,,,,,
YFR039C,SS,No,7,,,510,503,No,,,Yes
YFR040W,Cytonuclear,No,,,,1002,,,,,
YFR041C,SSTMD,No,8,Independent,No,295,287,No,,,Yes
YFR042W,TMD,No,12,Dependent,No,200,188,Yes,101,No,Yes
YFR043C,Cytonuclear,No,,,,237,,,,,
YFR044C,mito,No,,,,481,,,,,
YFR045W,Exception,No,,,,309,,,,,
YFR046C,Cytonuclear,No,,,,361,,,,,
YFR047C,Cytonuclear,No,,,,295,,,,,
YFR048W,TA,No,631,,,662,31,,,,
YFR049W,mito,No,,,,123,,,,,
YFR050C,Cytonuclear,No,,,,266,,,,,
YFR051C,Cytonuclear,No,,,,546,,,,,
YFR052W,Cytonuclear,No,,,,274,,,,,
YFR053C,Cytonuclear,No,,,,485,,,,,
YFR055W,Cytonuclear,No,,,,340,,,,,
YFR057W,Cytonuclear,No,,,,144,,,,,
YGL001C,Cytonuclear,No,,,,349,,,,,
YGL002W,SSTMD,No,6,Independent,No,216,210,No,,,Yes
YGL003C,Cytonuclear,No,,,,566,,,,,
YGL004C,Cytonuclear,No,,,,417,,,,,
YGL005C,Cytonuclear,No,,,,279,,,,,
YGL006W,TMD,No,118,,,1173,1055,No,,,Yes
YGL006W-A,Exception,No,,,,36,,,,,
YGL007C-A,Cytonuclear,No,,,,28,,,,,
YGL008C,TMD,No,112,,No,918,806,No,,,Yes
YGL009C,Cytonuclear,No,,,,779,,,,,
YGL010W,TMD,No,24,Dependent,Yes,174,150,No,,,Yes
YGL011C,Cytonuclear,No,,,,252,,,,,
YGL012W,TMD,No,40,Dependent,Yes,473,433,No,,,Yes
YGL013C,Cytonuclear,No,,,,1068,,,,,
YGL014W,Cytonuclear,No,,,,888,,,,,
YGL015C,Cytonuclear,No,,,,130,,,,,
YGL016W,Cytonuclear,No,,,,1081,,,,,
YGL017W,Cytonuclear,No,,,,503,,,,,
YGL018C,mito,No,,,,184,,,,,
YGL019W,Cytonuclear,No,,,,278,,,,,
YGL020C,Exception,No,,Dependent,No,235,,,,,
YGL021W,Cytonuclear,No,,,,760,,,,,
YGL022W,Exception,No,,Dependent,No,718,,,,,
YGL023C,Cytonuclear,No,,,,635,,,,,
YGL025C,Cytonuclear,No,,,,397,,,,,
YGL026C,Cytonuclear,No,,,,707,,,,,
YGL027C,SS,No,12,Independent,No,833,821,No,,,Yes
YGL028C,SS,No,5,Independent,No,542,537,No,,,Yes
YGL029W,Cytonuclear,No,,,,120,,,,,
YGL030W,Cytonuclear,No,,,,105,,,,,
YGL031C,Cytonuclear,No,,,,155,,,,,
YGL032C,SS,No,3,Independent,No,87,84,Yes,80,Yes,No
YGL033W,Cytonuclear,No,,,,218,,,,,
YGL035C,Cytonuclear,No,,,,504,,,,,
YGL036W,Cytonuclear,No,,,,909,,,,,
YGL037C,Cytonuclear,No,,,,216,,,,,
YGL038C,Exception,No,,Dependent,No,480,,,,,
YGL039W,Cytonuclear,No,,,,348,,,,,
YGL040C,Cytonuclear,No,,,,342,,,,,
YGL041C-B,TA,No,14,Dependent,,60,46,,,,
YGL041W-A,Cytonuclear,No,,,,154,,,,,
YGL043W,Cytonuclear,No,,,,309,,,,,
YGL044C,Cytonuclear,No,,,,296,,,,,
YGL045W,Cytonuclear,No,,,,542,,,,,
YGL047W,Cytonuclear,No,,,,202,,,,,
YGL048C,Cytonuclear,No,,,,405,,,,,
YGL049C,Cytonuclear,No,,,,914,,,,,
YGL050W,Cytonuclear,No,,,,273,,,,,
YGL051W,TMD,No,45,Dependent,,234,189,,,,
YGL053W,TMD,No,47,Dependent,,237,190,,,,
YGL054C,Exception,No,,Independent,No,138,,,,,
YGL055W,TMD,No,112,,Yes,510,398,No,,,Yes
YGL056C,Cytonuclear,No,,,,527,,,,,
YGL057C,mito,No,,,,287,,,,,
YGL058W,Cytonuclear,No,,,,172,,,,,
YGL059W,mito,No,,,,491,,,,,
YGL060W,Cytonuclear,No,,,,641,,,,,
YGL061C,Cytonuclear,No,,,,247,,,,,
YGL062W,Cytonuclear,No,,,,1178,,,,,
YGL063W,Cytonuclear,No,,,,370,,,,,
YGL064C,mito,No,,,,561,,,,,
YGL065C,Exception,No,,,No,503,,,,,
YGL066W,Cytonuclear,No,,,,657,,,,,
YGL067W,Cytonuclear,No,,,,384,,,,,
YGL068W,mito,No,,,,194,,,,,
YGL070C,Cytonuclear,No,,,,122,,,,,
YGL071W,Cytonuclear,No,,,,690,,,,,
YGL073W,Cytonuclear,No,,,,833,,,,,
YGL075C,Exception,No,,,,387,,,,,
YGL076C,Cytonuclear,No,,,,244,,,,,
YGL077C,TMD,No,60,,No,563,503,Yes,183,No,Yes
YGL078C,Cytonuclear,No,,,,523,,,,,
YGL079W,Cytonuclear,No,,,,218,,,,,
YGL080W,mito,No,,,,130,,,,,
YGL081W,mito,No,,,,320,,,,,
YGL082W,Exception,No,,,,381,,,,,
YGL083W,Cytonuclear,No,,,,804,,,,,
YGL084C,Exception,No,,Dependent,Yes,560,,,,,
YGL085W,mito,No,,,,274,,,,,
YGL086W,Exception,No,,,,749,,,,,
YGL087C,Cytonuclear,No,,,,137,,,,,
YGL089C,SS,No,3,Independent,,120,117,,,,
YGL090W,Cytonuclear,No,,,,421,,,,,
YGL091C,Cytonuclear,No,,,,328,,,,,
YGL092W,Cytonuclear,No,,,,1317,,,,,
YGL093W,Cytonuclear,No,,,,917,,,,,
YGL094C,Cytonuclear,No,,,,1115,,,,,
YGL095C,Cytonuclear,No,,,,577,,,,,
YGL096W,Cytonuclear,No,,,,276,,,,,
YGL097W,Cytonuclear,No,,,,482,,,,,
YGL098W,TA,No,217,,No,245,28,,,,
YGL099W,Cytonuclear,No,,,,640,,,,,
YGL100W,Cytonuclear,No,,,,349,,,,,
YGL101W,Cytonuclear,No,,,,215,,,,,
YGL103W,Cytonuclear,No,,,,149,,,,,
YGL104C,TMD,No,26,,,486,460,No,,,Yes
YGL105W,Cytonuclear,No,,,,376,,,,,
YGL106W,Exception,No,,,,149,,,,,
YGL107C,mito,No,,,,646,,,,,
YGL108C,Cytonuclear,No,,,,140,,,,,
YGL110C,Cytonuclear,No,,,,624,,,,,
YGL111W,Cytonuclear,No,,,,463,,,,,
YGL112C,Cytonuclear,No,,,,516,,,,,
YGL113W,Cytonuclear,No,,,,668,,,,,
YGL114W,TMD,No,24,Dependent,,725,701,No,,,Yes
YGL115W,Cytonuclear,No,,,,322,,,,,
YGL116W,Cytonuclear,No,,,,610,,,,,
YGL117W,Cytonuclear,No,,,,265,,,,,
YGL119W,mito,No,,,,501,,,,,
YGL120C,Cytonuclear,No,,,,767,,,,,
YGL121C,Cytonuclear,No,,,,126,,,,,
YGL122C,Cytonuclear,No,,,,525,,,,,
YGL123W,Cytonuclear,No,,,,254,,,,,
YGL124C,Cytonuclear,No,,,,644,,,,,
YGL125W,Cytonuclear,No,,,,600,,,,,
YGL126W,TMD,No,9,Dependent,No,380,371,No,,,Yes
YGL127C,Cytonuclear,No,,,,127,,Yes,104,,
YGL128C,Cytonuclear,No,,,,283,,,,,
YGL129C,mito,No,,,,450,,,,,
YGL130W,Cytonuclear,No,,,,459,,,,,
YGL131C,Cytonuclear,No,,,,1403,,,,,
YGL133W,Cytonuclear,No,,,,1264,,,,,
YGL134W,Cytonuclear,No,,,,433,,,,,
YGL135W,Cytonuclear,No,,,,217,,,,,
YGL136C,mito,No,,,,320,,,,,
YGL137W,Cytonuclear,No,,,,889,,,,,
YGL138C,Exception,No,,,,345,,,,,
YGL139W,SSTMD,No,10,Independent,Yes,802,792,No,,,Yes
YGL140C,TMD,No,34,Dependent,,1219,1185,No,,,Yes
YGL141W,Cytonuclear,No,,,,910,,,,,
YGL142C,Exception,No,,Dependent,,616,,,,,
YGL143C,mito,No,,,,413,,,,,
YGL144C,Cytonuclear,No,,,,685,,,,,
YGL145W,Cytonuclear,No,,,,701,,,,,
YGL146C,Exception,No,,Dependent,,311,,,,,
YGL147C,Cytonuclear,No,,,,191,,,,,
YGL148W,Cytonuclear,No,,,,376,,,,,
YGL150C,Cytonuclear,No,,,,1489,,,,,
YGL151W,Cytonuclear,No,,,,1132,,,,,
YGL153W,Cytonuclear,No,,,,341,,,,,
YGL154C,Cytonuclear,No,,,,272,,,,,
YGL155W,Cytonuclear,No,,,,376,,,,,
YGL156W,Cytonuclear,No,,,,1083,,,,,
YGL157W,Cytonuclear,No,,,,347,,,,,
YGL158W,Exception,No,,,,512,,,,,
YGL159W,Cytonuclear,No,,,,370,,,,,
YGL160W,TMD,No,23,Dependent,,570,547,Yes,93,No,Yes
YGL161C,Exception,No,,,No,310,,,,,
YGL162W,Cytonuclear,No,,,,299,,,,,
YGL163C,Cytonuclear,No,,,,898,,,,,
YGL164C,Cytonuclear,No,,,,440,,,,,
YGL166W,Cytonuclear,No,,,,225,,,,,
