uniprot,gene,name
O01798,F53G12.6,spe-8
G5EGT9,C16B8.1,lin-18
Q09376,ZK177.10,tbx-35
P45896,R13F6.9,sma-3
Q4W4Z2,F56H1.6,rad-8
Q09488,C32D5.2,sma-6
P34344,C29E4.5,tag-250
O01479,C06A5.7,unc-94
Q09996,R74.1,lars-1
Q18616,C44C10.4,smcl-1
Q23307,ZC412.3,
P34456,F54H12.2,
O44156,CD4.6,pas-6
O44959,M01B12.5,riok-1
Q19325,F10G7.4,scc-1
P46501,F23F12.11/F23F12.5,srb-10
Q10122,F52C9.1,sorf-2
P34681,ZK757.3,tag-76
Q19253,F09E10.8,toca-1
Q9XUS7,K08E3.3,toca-2
P34659,ZK652.1,snr-5
O77081,Y111B2A.15,tpst-1
Q21824,R07E5.2,prdx-3
O17528,W02D7.7,sel-9
P34321,C07A9.10,
Q95Q11,Y57G11C.34,mrps-7
P34183,T11G6.1,hars-1
P53589,C50F7.4,sucg-1
Q10013,T28D9.10,snr-3
Q20363,F43D9.4,sip-1
Q17598,C03A3.2,
Q9XWW1,Y37D8A.10,spcs-2
Q9XVS1,C25A1.3,tag-72
O45406,F26H11.1,kbp-3
P54245,F18G5.4,lgc-4
O45903,W09H1.5,
Q09460,C13B9.4,pdfr-1
Q19869,F28C6.7,rpl-26
Q20249,F40G12.1,sre-8
P34334,C14B9.7,rpl-21
Q9N491,Y110A2AL.14,sqv-2
P48152,C23G10.3,rps-3
Q18779,C52E12.3,sqv-7
O01498,C34G6.7,stam-1
Q7YWN4,Y87G2A.17,soem-1
Q9NA75,Y57A10A.10,tric-1B.1
P34475,F58A4.8,tbg-1
D3KZG3,T13G4.3,tmc-1
Q93646,F30A10.8,stn-1
Q9N5D3,T28F12.3,sos-1
Q93971,T01H8.5/T01H8.3/T01H8.4,gon-2
P52709,C47D12.6,tars-1
Q20010,F35B12.5,sas-5
G5EDG2,M03C11.8,
Q95Y12,Y41D4B.12,set-23
Q9TZ93,F54C4.2,spt-4
G5EEG7,CC4.3,smu-1
D0VWM8,F44G4.4,tdp-1
O16975,T02B11.5,srj-38
Q965M2,T21D12.9,sma-10
Q02330,PAR2.2 ZK370.2/ZK370.1,sma-2
G5ECU1,F46A9.5,skr-1
P34387,F09G8.2,crn-7
Q95PX3,ZK328.8,tbx-7
Q22289,T07C4.6,tbx-9
G5EEV9,ZK520.2,sid-2
Q94225,F41D9.5,sulp-3
Q20728,F53F4.3,tbcb-1
P53596,C05G5.4,sucl-1
Q9N5N8,H06I04.2,sft-1
P34349,C30A5.3,mob-4
Q9NAA5,Y53F4B.13,
Q95XG9,Y69A2AR.5,daao-1
Q20390,F44C4.5,ppt-1
Q17819,C08B6.8,
Q17602,C03D6.4,npp-14
G5ECP4,K09B11.1,pik-1
Q23359,ZC513.6,oma-2
P02567,R06C7.10,myo-1
Q94148,T23H2.5,rab-10
Q9N4I4,Y71F9AL.13,rpl-1
Q8T3G2,B0379.4,scpl-1
Q9U1Q4,Y87G2A.5,glp-4
G5EDN3,Y75B8A.22,tim-1
Q9TYU5,VC5.4,mys-1
Q9Y0V6,Y66D12A.22,tin-10
Q22747,T24F1.2,samp-1
Q5CZ51,C07A9.12,
P91573,ZK377.1,wrt-6
Q20170,F38E11.7,wrt-3
P46012,C01G6.5,
P46499,F23F12.3/F23F12.1,
P34536,R05D3.3,
Q20332,F42E11.2,ttyh-1
Q21874,R09E10.5,
G5EFJ9,C30D11.1,unc-103
Q1NZ26,F13E9.13,
Q11116,C03B1.10,
Q11114,C03B1.7,
Q10023,T28D9.4,
Q11078,B0563.1,
P52484,C06E2.3,ubc-21
Q9N5D6,T28F12.2,unc-62
P42173,C03C10.6,unc-79
P91430,T03F1.1,uba-5
Q09220,B0228.1,
Q03412,R07D5.1,unc-7
P32743,R107.5,
Q9XVA4,F08G2.4,
Q09371,ZK177.2,
Q11191,C05D11.13,
P34628,ZK353.5,
Q09287,C56G2.3,
P30629,ZK637.2,
Q09307,F19C6.2,
Q95QZ9,F59E12.5,npl-4.2
O62146,F09B12.3,
P92199,C10H11.9,let-502
P91124,C32E8.7,ric-19
Q18919,D1014.8,spr-1
Q9NEU3,Y39B6A.35,tgt-2
G5EGU9,C18E9.3,szy-20
Q18319,C30B5.2,
P34561,T05G5.8,vps-53
Q03206,C09G12.8,ced-10
P49404,C26E6.6,mrps-18C
Q23314,ZC434.4,
P42171,C03C10.4,rei-1
O62479,Y45F10D.9,sas-6
O45241,C04H5.1,
G5EEU2,Y43F4B.3,set-25
P90971,T27A1.6,mab-9
P34504,K04H4.2,
Q20593,F49C12.5,
G5EC37,M01E5.6,sepa-1
Q10579,R10H10.2,spe-26
P30638,ZK637.1,svop-1
P34491,K01B6.3,
P34360,C48B4.6,
Q21268,K07C11.7,
P34399,F10E9.5,
P34404,F22B7.1,
P34337,C15H7.3,
P34289,C05B5.1,
D9N129,C08B6.7,wdr-20
Q19948,F32A5.4,
G5EFV8,F08C6.3,vps-52
O45160,C17B7.2,
O01393,R12H7.1,unc-9
G5EDZ2,T07C4.1,umps-1
Q09274,C41C4.5,unc-105
Q10932,B0304.2,
Q11072,B0416.4,
Q01630,Y37E11C.1,unc-33
Q06561,ZC101.2,unc-52
Q09352,T10B9.9,
Q09356,T19H5.4,
Q09217,B0495.8,
Q09267,C32D5.7,
Q09384,ZK945.8,
Q09965,B0244.6,
C0HLB4,Y38F2AL.4,vha-3
G5EEM5,F22B5.7,zyg-9
O01454,C03G6.5,
Q19848,F28B12.3,vrk-1
Q9TXH9,F23C8.4,ubxn-1
Q10926,B0302.2,
Q22295,T07C5.1,ugt-50
Q9U2G0,Y46G5A.4,snrp-200
Q10938,B0310.2,
Q11093,C02B8.3,
Q18079,C18B2.1,
Q09632,ZK1290.5,
P34434,F44E2.4,
O16406,C36C5.12,
P91133,C32E8.11,ubr-1
Q09277,F40H6.5,
Q10011,T19C3.5,
Q09507,C45G9.9,
P30652,ZK643.6,
P34596,ZC262.4,
P52883,F46C5.7,
O45700,R05A10.4,
Q10123,F52C9.3,
Q19417,F13G3.3,
Q11075,B0403.1,
Q23435,ZK1251.8,twk-9
Q09647,ZK1128.6,ttll-4
Q11183,C05D11.3,txdc-9
G5ECB1,C09C7.1,zig-4
Q19905,F29F11.1,sqv-4
Q20256,F40H6.2,
Q11192,C04E7.1,
Q10032,C27D6.3,
Q9TXV7,F52C12.1,
P54073,F44G4.1,
Q09268,C32D5.10,
Q10909,B0244.5,
Q7Z142,ZK686.5,
P34511,K06H7.3,vms-1
Q09308,F19C6.5,
P34260,B0303.9,vps-33.1
Q19642,F20D12.4,czw-1
P34593,ZC262.1,
Q18473,C35A5.5,
P18947,F59D8.2,vit-4
Q19329,F10G7.1,tag-151
Q22835,T27F2.4,zip-10
Q10907,AH9.4,
Q18685,C47E8.7,unc-112
Q11077,B0403.3,
Q11110,C03B1.3,
Q9XWG3,Y63D3A.4,
Q09505,C45G9.4,
P34549,R10E11.5,
Q09370,ZK177.1,
P45972,T09A5.12,ztf-17
P48053,C05D11.1,
P34626,ZK353.3,
Q09294,EEED8.3,
Q09299,EEED8.10,
Q09531,F07F6.4,
P30653,ZK643.7,
D9PTN5,F21A10.2,myrf-2
Q9N4E9,Y71H2B.3,ppfr-4
P49632,ZK1010.1,ubq-2
P49808,F16H9.1,rgs-2
P30641,R08D7.2,rpap-2
Q23457,ZK287.5,rbx-1
Q95ZY4,C27D6.6,srb-5
P83260,F37C12.15; F37C12.16,srb-8; srb-9
P34714,C44B12.2,ost-1
Q965H3,C50E10.4,sop-2
O17847,T26E3.9,sra-25
Q19549,F18C5.1,sra-27
Q09204,AH6.6,sra-2
O17822,F17A2.9,srd-48
Q09208,AH6.10,sra-6
Q03563,B0464.5,spk-1
G5EEV2,C47D12.1,trr-1
Q9N4V4,Y47D9A.2,scpl-3
P34444,F54C8.6,
P34338,C15H7.4,
P34423,F44B9.2,
Q9XUC4,T28F3.3,zipt-7.1
Q11180,C05D10.3,wht-1
P18948,K07H8.6,vit-6
Q19420,F13G3.5,ttx-7
O76840,C37C3.6,mig-6
Q23261,ZC373.5,
Q95Y90,R13A5.8,rpl-9
G5EC21,T05C12.10,qua-1
P91127,C32E8.3,tppp-1
G5EC32,Y45F10D.13,sorb-1
Q09363,ZK1307.5,sqv-8
Q23121,W02B12.3,rsp-1
O02173,W05H7.3,sedl-1
O17730,D2023.5,mpst-1
P91079,C23H3.4,sptl-1
Q22647,T21C9.12,scpl-4
Q965Q8,Y50D4C.4,sqv-6
Q7YWX7,R06B9.6,mig-14
Q11090,C01C4.3,
B3CKG1,F43D9.6,urm-1
Q11111,C03B1.4,
Q10012,T19C3.6,
Q9XWF4,Y52B11A.2,impt-1
Q19426,F13H10.4,mogs-1
Q21657,R03A10.3,mocs-1
P36608,C44C1.3,ncs-1
P91353,F59A3.3,mrpl-24
P34660,ZK652.2,tomm-7
P30650,ZK643.3,seb-2
Q9TXQ1,ZK1005.1,tank-1
P16356,F36A4.7,ama-1
P91128,C32E8.2,rpl-13
Q18240,C27B7.1,spr-2
Q9NEL2,Y111B2A.22,ssl-1
Q20060,F35G12.8,smc-4
P30646,R08D7.7,
P34583,T26G10.4,
P34350,C30A5.4,
P34304,C06E1.9,
P34310,C06G4.4,
P34363,C48B4.9,
G4SLH0,W06H8.8,ttn-1
P52713,F13D12.4,alh-8
G5EDT6,F35C8.3,jkk-1
Q95QK3,F18E9.5,jmjd-3.1
Q9Y041,W06D4.1,hgo-1
O16116,K08F4.11,gst-3
P17487,F33D11.4,ceh-12
Q95Q98,T26A5.5,jhdm-1
A0A0K3AWM6,T23D8.1,mom-5
Q7Z0M7,R10H1.5,nas-23
Q95Q34,Y105E8B.3,riok-2
P46500,F23F12.4,sdz-15
Q18484,C35D10.10,
Q10018,T25D10.3,spp-11
Q19143,F52A8.6,kbrl-1
A7IQW5,C42C1.13,
P24889,MTCE.16,nduo-2
Q21181,K03B8.5,nas-19
O62243,F45G2.1,nas-1
P91137,C37H5.9,nas-9
P45971,T09A5.11,ostb-1
O01802,F53G12.10,rpl-7
P52879,F46C5.8,rer-1
P54142,F37C12.17,srb-7
P30636,ZK637.9,tpk-1
P34587,ZC21.3,
P34538,R05D3.5,
P34409,F22B7.6,polk-1
P41933,T18D3.2,odr-7
Q18411,C33H5.14,ntp-1
P53020,K08F4.8,msp-38
P34578,T20G5.5,epac-1
Q22054,T01C3.6,rps-16
P34443,F54C8.5,rheb-1
P34442,F54C8.4,
Q20696,F53B1.2,
Q20977,F58E6.1,sta-2
P34445,F54C8.7,
Q20762,F54D1.6,
Q93364,C41G7.7,
Q11098,C02F12.1,tsp-17
Q22495,T14G10.6,tsp-12
P34523,K12H4.2,
Q8WT44,ZK328.1,cyk-3
P34318,C07A9.7,set-3
P34256,B0303.4,
Q9N5K3,H27M09.3,syp-4
Q22708,ZK1067.6,sym-2
H2KZU7,T14E8.1,svh-2
Q9TYM6,Y48A5A.1,
Q95QY7,C02F5.12,
P46576,C34E10.1,gop-3
O01829,C55C2.2,ssp-19
G5ECN5,Y52D3.1,strd-1
P46583,C34E10.9,
P34454,F54F2.9,
Q9U2T3,Y116A8C.11,
G5EE86,C40H5.5,ttx-3
P52882,F46C5.4,
Q09235,C13B9.2,
Q09237,C18H9.3,
Q564U4,F25C8.5,ttll-9
Q23551,ZK617.1,unc-22
Q09255,C30G12.1,
Q18964,D2013.2,wdfy-2
G5EFD5,Y37D8A.13,unc-71
P50464,F14D12.2,unc-97
Q09227,C08B11.9,
P13528,C30A5.7,unc-86
Q9XWR6,Y11D7A.4,rab-28
O44410,T07A9.8,
G5EDJ4,F41F3.2,soc-1
P61228,C02F5.13,
Q20787,F54E7.1,pst-2
Q20481,F46G10.3,sir-2.3
Q9NEX2,Y111B2A.13,gtf-2A2
Q19714,F22B5.10,
Q20144,F38B6.6,
Q23246,ZC168.6,ssp-34
P46550,F01F1.8,cct-6
Q10953,B0336.1,wrm-1
Q03572,C40H1.2,
Q09401,K02A2.5,
P34367,C50C3.2/C50C3.3,
P34515,K06H7.7,
O02334,W02D9.1,pri-2
G5EEK3,T09E8.1,noca-1
O44662,B0213.6,nlp-31
O16925,F25G6.5,stdh-4
P46556,B0285.6,
P34401,F10E9.7,
Q22702,T23F2.5,
Q03575,C40H1.5,ttr-5
P34436,F44E2.6,
G5ED00,Y39E4B.8,zig-8
Q9N2W5,Y94H6A.9,ubxn-2
O18209,Y53C12A.1,wee-1.3
Q22438,T12G3.5,mrpl-51
O44568,W03F8.3,
P49405,F54C9.5,rpl-5
O01322,F18A11.1,puf-6
P34295,C05B5.7,rgs-1
G5EDE5,Y71G12B.16,drag-1
Q9U263,Y51H4A.12,set-26
Q9N4Y9,Y45G12B.2,
Q19546,F18C5.2,wrn-1
P34495,K02D10.4,
P46553,B0285.3,
Q02333,ZK370.6,
Q09554,F27E5.5,
P21541,C08B11.1,zyg-11
Q20157,F38E1.9,mpdu-1
B2D6K9,C47G2.5,saps-1
P28192,K04D7.4,ptp-4
Q18563,C41G11.3,rgs-6
Q94421,ZK858.5,
P46506,F23F12.10,srb-11
O01509,C48B6.5,srb-15
Q9N4D6,Y74C9A.5,sesn-1
Q17678,C05G5.5,
Q18474,C35A5.6,
Q629J5,R144.12,
Q22700,T23F2.3,
Q27245,W07G4.4,lap-2
Q11108,C03B1.1,
Q10015,T25E4.2,
Q11073,B0416.5,
O02482,W02D3.9,unc-37
P45964,T09A5.4,
Q09256,C30G12.3,
Q10044,T07A5.1,
Q09257,C30G12.4,
P34606,ZK1098.6,
P34621,ZK1236.5,
Q93834,F59C6.8,
Q09618,ZK892.4,
Q09664,ZK673.5,
Q09270,C34C12.6,
P41842,T20B12.1,trd-1
O62252,F45G2.10,
Q10046,T07A5.3,vglu-3
Q20375,F43H9.2,sptl-2
Q95PZ9,Y66D12A.20,spe-6
O16974,T02B11.1,srg-53
P34708,Y47D3A.6,tra-1
Q17424,B0024.9,trx-2
O45102,K02D7.5,swt-1
P34642,ZK512.4,
Q8MPZ7,R10H1.4,spi-1
Q23622,ZK829.5,tbx-36
P54811,C06A1.1,cdc-48.1
Q11102,C02F12.7,tag-278
P27604,K02F2.2,ahcy-1
Q6BEV5,R06F6.12,
Q10580,B0336.9,swp-1
P34365,C48B4.11,
Q9U7D3,W03D2.5,wrt-5
H2L0H5,R08C7.10,wapl-1
Q21279,K07C5.7,ttll-15
Q10009,T19C3.3,
Q11089,C01C4.2,
Q19691,F21H11.3,tbx-2
Q9N2K7,Y59E9AR.3; Y59E9AR.5,tbx-30; tbx-42
Q03615,T23G5.6,saeg-2
P34314,C07A9.3,tlk-1
Q20616,F49E12.1,skpo-1
Q9U3N5,C35C5.3,selt-1.1
Q5FC79,C41C4.10,sfxn-5
Q9GZC8,C04F5.1,sid-1
Q9N4U5,Y49F6B.4,smu-2
P34258,B0303.7,
Q8WQG1,C35D10.1,
Q9TYT3,F54A5.3,shc-1
O17606,C27H6.8 K08H10.8,
P34582,T26G10.3,
P34484,F59B2.9,
P34306,C06E1.11,
Q27371,T22E5.5,mup-2
P54127,T12A2.11,srg-5
Q19337,F11A10.5,
Q19766,F23H12.2,tomm-20
Q20480,F46G10.7,sir-2.2
Q9XWS0,Y106G6H.15,ska-1
Q18864,C54H2.5,sft-4
G5EGQ6,R13F6.4,ten-1
Q9XWU2,Y41C4A.13,sup-1
Q11069,B0416.1,tmc-2
G5EFX6,F40E10.4,slt-1
Q9U3P2,C26G2.1,syg-2
O44445,C02B10.2,snpn-1
Q18161,C25E10.12,
Q20086,F35H8.6,ugt-58
P34675,ZK688.5,
A6ZJ55,T07A5.7,
Q26261,B0273.4,unc-5
Q09355,T15H9.5,
Q09223,B0228.6,
Q21974,R13A1.4,unc-8
Q09663,ZK673.4,
Q7YWV6,T18D3.9,
Q9U2B7,Y47D3B.11,plr-1
P34356,C48B4.2,rom-2
P47991,R151.3,rpl-6
Q18409,C33H5.12,rsp-6
O17842,F28C12.1,sra-17
P91211,F07C4.8,srd-31
O17844,F28C12.4,sra-20
P34528,K12H4.7,
P50438,F12A10.7,
P34693,F31E8.2,snt-1
O61764,ZK380.1,tbx-32
Q19981,F33C8.1,tag-53
Q9Y0V2,B0564.1,tin-9.2
P46569,T04A8.2,srg-11
Q20970,F58B3.5,mars-1
O17699,C53A5.8,srg-47
Q18425,C34C6.5,sphk-1
P34263,B0303.14,
P34316,C07A9.5,
Q09411,K10D2.5,
P34519,K11H3.3,
U4PCM1,R06A4.9,pfs-2
P52881,F46C5.2,
P41883,F37A4.5,
H2L056,F48A11.5,ubxn-3
Q23469,ZK381.2,
P23678,C52E12.2,unc-104
Q10127,F56D1.1,
Q17426,B0024.11,
Q11091,C02B8.1,
Q02334,ZK370.7/ZK370.9,ugtp-1
H2KYU6,F59E12.4,npl-4.1
P52814,C26F1.9,rpl-39
O17915,K01G5.4,ran-1
Q10955,B0336.4,rgs-5
Q9TYV2,W07E6.3,sms-5
Q18245,C27B7.7,
P34541,R05D3.8,
P52880,F46C5.1,
Q21770,R06C7.1,wago-1
Q23194,W06B4.3,vps-18
P34437,F44E2.7,
Q10034,F15G9.2,
Q09234,C13B9.1,
O45797,T20F10.1,wts-1
Q09239,C28F5.1,
Q9XXU9,Y38F2AL.3,vha-11
Q9U3F4,F42G4.3,zyx-1
Q21376,K09C4.8,sul-1
Q9XXL3,ZK1225.6,ssp-31
Q17638,C04G6.5,
P83528,C15C7.1,syx-6
P34419,F42H10.6,
P34352,C30A5.10,
Q03610,ZC84.1,
P34320,C07A9.9,
O45731,T02E1.7,
Q93408,D2005.3,
Q19683,F21D5.5,
P34553,R10E12.2,
Q18891,C56C10.1,vps-33.2
Q93212,C15A11.3,sol-1
P46564,R13F6.3,srv-1
P91868,F32H2.1,snpc-4
O76689,M01G5.5,snf-6
P34261,B0303.11/B0303.12,
P34311,C06G4.5,
Q03564,B0464.6,
P34592,ZC21.8,
P54813,M03C11.5,ymel-1
P34357,C48B4.3,
Q09571,K02A2.1,
X5M5N0,C46C2.1,wnk-1
P19826,ZC477.9,deb-1
P0CG71,F25B5.4,ubq-1
G5EEY6,C14F5.2,zig-3
Q19203,F08C6.7,unc-98
P91309,F46F11.1,
Q11124,C03F11.3,
Q09275,C41C4.6,ulp-4
Q09347,T05H10.3,
P34613,ZK112.4,
Q22306,T07D4.2,
P37806,F08B6.4,unc-87
Q09244,C28H8.5,
Q17865,C09G1.4,
Q09280,C45G9.8,
Q09380,ZK675.4,
P34639,ZK512.1,
O44750,W03G9.4,app-1
Q9U299,Y48B6A.3,xrn-2
Q21890,R102.4,
P34433,F44E2.3,
Q22125,T03G11.8,zig-6
Q17750,C06G3.9,ufl-1
Q10126,F52C9.6,
Q21190,K03E6.5,unc-1
Q10040,C28F5.4,
Q21534,M110.7,
Q09368,ZK1321.1,
Q09563,F47D12.7,
P34627,ZK353.4,
Q22494,T14F9.1,vha-15
Q09415,R06F6.4,set-14
P42172,C03C10.5,
Q5WRN1,C17G1.8,tsp-21
G5EDQ9,F42F12.2,zig-2
O44730,F54D7.4,zig-7
Q19907,F29F11.4,twk-12
Q11096,C02B8.6,
Q19673,F21C3.2,tyr-3
Q11109,C03B1.2,
Q23229,C18A11.5,xol-1
Q7YSI9,F45E10.1,unc-53
P45965,T09A5.5,
Q10038,F08B1.1,vhp-1
P34646,ZK512.8,
P45898,R12B2.6,
P34557,T05G5.4,
P34564,T16H12.1,
C0HLB3,R10E11.2,vha-2
Q09936,C53C9.2,
O45307,C47A10.5,ddo-1
Q9U280,Y49E10.11,tat-1
P32085,T20B12.2,tbp-1
Q95Q89,C06A5.11,sir-2.4
Q09399,F58F12.2,
Q10952,B0361.9,
Q19569,F18E9.2,nlp-7
P53016,F31E3.3,rfc-4
Q23122,W02B12.6,aars-1
Q18449,C34D4.4,
Q95XU6,Y61A9LA.8,sut-2
Q23088,ZK742.2,uvs-1
O62053,C08F11.11,ule-4
O17811,F15A4.10,
P91302,F46F11.4,ubl-5
P34579,T20G5.6,unc-47
Q11071,B0416.3,
Q09338,ZK1290.11,
P34612,ZK112.3,
Q23680,ZK970.4,vha-9
Q20255,ZK328.7,ift-139
Q09392,F47D12.9,
Q19191,F08B12.4,
P34667,ZK686.1,
Q20666,F52E1.10,vha-18
P34651,ZK632.5,
Q20687,F53A9.4,jbts-14
Q9NAN1,W02A11.4,uba-2
P52274,ZK899.4,tba-8
P47208,K01C8.10,cct-4
O45433,F32B6.7,ssp-32
Q94128,ZK1290.12,wrt-1
P34542,R05D3.9/R05D3.10,
Q09420,R07B1.6,
P34521,K11H3.5,
Q10037,F15G9.5,
Q09952,F59B10.4,
Q18120,C24A3.6,twk-18
Q8I0G4,ZK757.4,dhhc-4
Q10933,B0304.4,
Q10918,B0252.5,
Q11082,B0563.6,
P48460,C27B7.6,
G5EBU4,F28F9.1,zag-1
P41844,T20B12.4,
P34654,ZK632.9,
P30651,ZK643.5,
Q09302,F07F6.1,
Q09353,T10F2.3,ulp-1
P34461,F55H2.1,sod-4
Q9U2C9,Y47D3A.12,tbx-37
Q18412,C33H5.15,sgo-1
O16991,W03F9.5,ttb-1
P12456,ZK154.3,mec-7
G5EG17,F54D5.14,smc-6
G5EBN9,T13B5.1,snf-3
P46549,T17E9.1,kin-18
Q21166,K03A1.5,sur-5
P34257,B0303.5,tc3a
Q9BLB6,H20J04.8,mog-2
O01510,C48B6.6,smg-1
Q09575,K02A2.6,
P34366,C50C3.1,
P34330,C14B9.3,
P34395,F10E9.1,
Q22288,T07C4.5,ttr-15
P34285,C02F5.8,tsp-1
Q17704,C06B3.5,stdh-3
P91351,F56A3.2,slx-1
P47209,C07G2.3,cct-5
Q9NA80,Y57A10A.20,sinh-1
Q95V25,Y51A2D.19,slo-1
P90761,C27H6.1,unc-41
G5ECL2,JC8.10,unc-26
Q21921,R11A8.4,sir-2.1
P34255,B0303.3,
Q9U239,Y56A3A.18,
Q09419,R07B1.5,
Q09421,R07B1.7,
P34501,K03H1.5,
P55955,Y5F2A.1,ttr-16
Q7JKC3,H19N07.2,math-33
Q93618,F27D4.4,
P30628,ZK637.8,unc-32
Q18081,C18C4.3,ugt-48
Q8ITY4,C50D2.5,
P91375,K11H12.1,
P34457,F54H12.3,
P34398,F10E9.4,
P34282,C02F5.5,
P34279,C02F5.2,
P34527,K12H4.6,
O01258,T20D3.7,vps-26
Q10941,B0310.5,ugt-46
Q09465,C16C10.9,
Q9GQ60,R08C7.12,
P34565,T16H12.2,
Q9GYF1,ZK721.2,unc-27
P34351,C30A5.5,snb-5
Q19200,F08C6.4,sto-1
Q22165,Y71H9A.3/T04F8.5,sto-4
Q19958,F32A6.5,sto-2
Q21289,K07F5.9,ssp-10
P30643,R08D7.4,
O16686,K07E8.7,
P30644,R08D7.5,
Q19077,EGAP4.1,
P34302,C06E1.7,
P34459,F54H12.5,
P34492,K02D10.1,
P41949,D1044.1,
P34292,C05B5.4,
O61460,M03A1.1,vab-1
Q09458,C09G5.7,
O01739,F20H11.5,ddo-3
Q22523,T16A9.4,nep-21
P49622,C54C6.1,rpl-37
G5EDB9,T14G10.2,pxf-1
Q9XUB3,W02A2.6,rec-8
P49196,F54E7.2,rps-12
P34548,R10E11.4,sqv-3
Q9NEW6,Y111B2A.18,rsp-3
Q966L5,E01A2.2,
P91910,C44B11.3,mec-12
Q20405,F44F4.5,sra-10
P92002,F53F1.11,srd-19
O17956,M01B2.2,srd-28
Q19507,F17A2.11,srd-47
P51403,C49H3.11,rps-2
P91856,F26H9.5,
O62267,F57G9.2,sre-30
Q95QZ5,C41D11.9,
Q8MXJ9,M03F8.2,pst-1
P90837,W05H5.7,sre-32
Q22557,T19B10.6,dvc-1
Q09545,F42A8.2,sdhb-1
Q9U3H8,F26F2.7,
Q22795,T26A5.7,set-1
Q23623,ZK829.6,tgt-1
Q09201,AH6.2,sfxn-1.1
Q18090,C18E9.6,tomm-40
Q09278,C45G9.5,
P34450,F54F2.5,ztf-1
P34303,C06E1.8,ztf-30
Q95XP9,Y39G10AR.2,zwl-1
Q45FX5,C35B8.2,vav-1
Q9N4G7,Y71F9B.2,
Q20257,F40H6.4,tbx-11
P46064,K02F3.1,tag-51
P83351,K02D10.5,snap-29
B2FDA8,Y47D3A.26,smc-3
Q19910,F30B5.4,
G5ED35,F11F1.7,ttr-52
P34547,R10E11.3,usp-46
O44440,B0546.4,
Q09230,C05C10.5,
P03935,,
Q27GV2,ZK688.12,
Q93571,F25H2.8,ubc-25
P34679,ZK757.1,
Q9XV66,F25C8.3,unc-80
Q20516,F47B7.1,
Q09224,B0228.8,
P34601,ZK1098.2,
Q960A0,B0244.10,
P34554,T05G5.1,
Q9XVK5,R09B3.4,ubc-12
Q09526,E02H1.5,
Q19425,F13H10.3,
P54128,T12A2.13,srg-6
Q9XWV5,Y37D8A.18,mrps-10
P91536,ZC204.5,srh-72
P52652,T24H10.1,
O01914,F23H11.2,
P54812,C41C4.8,cdc-48.2
P34697,C15F1.7,sod-1
P34451,F54F2.6,
P03934,T07D3.8,tc1a
Q9U3G6,F37A8.5,
P34594,ZC262.2,
Q18678,C47E12.1,sars-1
P34483,F59B2.8,
Q09400,F58F12.3,
Q7JPQ6,B0361.3,
Q09595,R03D7.5,
Q23232,Y102E9.2,wdr-4
O16999,W03F9.1,
Q8MYQ1,F31E3.2,
Q09931,K02C4.3,
P41884,F37A4.6,
Q7YZW5,K07E3.8,vem-1
Q94218,F38A5.1,odr-8
P34664,ZK652.6,
Q10045,T07A5.2,unc-50
Q22271,T06H11.1,unc-58
Q23570,ZK669.3,
Q09351,T09B9.5,
Q09953,F59B10.5,
Q10004,T05H10.8,
Q09354,T15H9.4,
P34680,ZK757.2,
P34603,ZK1098.3,
Q93380,C46F11.1,unc-93
Q09475,C28H8.3,
Q11105,C03B8.2,
Q09262,C32D5.1,
O01513,C48B6.2,
Q09662,ZK673.1,
Q09444,C08B11.7,ubh-4
Q5FC78,F27E5.8,
Q17439,B0035.15,
P91240,F08D12.1,srpa-72
Q09604,R07B1.1,vab-15
Q20082,F35H8.3,zfp-2
P42000,B0280.9,
P41879,F37A4.1,
P34502,K03H1.6,ttr-1
G5EFF7,F15C11.2,ubql-1
P34631,ZK353.8,ubxn-4
Q22181,T04H1.8,ugt-56
Q9U221,Y56A3A.29,ung-1
Q10017,T25D10.1,
P34674,ZK688.4,
Q11083,B0563.7,
Q11074,B0416.7,
Q95XX0,Y54G2A.31,ubc-13
P34600,ZK1098.1,
Q09243,C28H8.2,
Q09358,ZK1128.3,
Q18493,C36A4.4,
P30637,ZK637.4,
Q09523,E02H1.2,
Q9XWU8,Y37D8A.22,epg-3
O17212,H14A12.4,mls-1
Q11099,C02F12.3,snet-1
O61749,F37F2.2,
Q19443,F14B8.2,sid-5
Q19532,F17H10.3,snx-17
G5EBM5,Y46G5A.30,snf-5
Q9N4J8,F54A3.3,cct-3
Q21926,R11A8.6,iars-1
P34516,K06H7.8,
Q5FC62,C35A5.10,
P34566,T16H12.3,
A5JYQ9,R07E5.10,pdcd-2
P34287,C02F5.10,
P42169,C03C10.2,
Q09306,F10B5.4,tub-1
Q22957,F10G2.1,
P34661,ZK652.3,ufm-1
Q09512,D2013.9,ttll-12
Q9BI88,F46B6.12,
Q18078,C18B2.2,
Q20806,F55C10.4,
Q10958,B0353.1,
Q23023,Y60A3A.1,unc-51
Q09360,ZK1307.2,
Q09359,ZK1307.1,
Q09966,B0244.7,
Q9NAQ9,C47G2.3,
G5EFV3,Y48A6B.11,rsa-2
Q10950,B0361.6,
Q23588,ZK783.2,upp-1
Q86DA7,C05B5.8,
P34430,F44B9.9,
Q9N4J2,F59D8.1,vit-3
P34889,W01B6.1,cwn-2
O45941,Y45F10C.2,
Q10033,F15G9.1,
Q19374,F13B12.4,
Q21706,R04B5.9,ugt-47
